id,key_word,product_series,brand,price,image_url,detail_url
1,宝马BMW X5,BMW X5,宝马,699900,http://www.bmw.com.cn/content/dam/bmw/common/all-models/x-series/x5/2013/model-card/BMW-X5_ModelCard.png.asset.1475146197460.png,http://www.bmw.com.cn/zh/all-models/x-series/X5/2015/overview.html
2,宝马BMW i8,BMW i8,宝马,1838000,http://www.bmw.com.cn/content/dam/bmw/common/all-models/i-series/i8/2014/model-card/BMW-i8_ModelCard.png.asset.1475148118435.png,http://www.bmw.com.cn/zh/all-models/bmw-i/i8/2014/overview.html
3,宝马BMW i3,BMW i3,宝马,349800,http://www.bmw.com.cn/content/dam/bmw/marketCN/common/all-models/car-model-image/i3-2018.png.asset.1520309406150.png,http://www.bmw.com.cn/zh/all-models/bmw-i/i3/2017/overview.html
4,宝马BMW 7系,BMW 7系,宝马,828000,http://www.bmw.com.cn/content/dam/bmw/marketCN/common/all-models/car-model-image/7s_sedan.png.asset.1501929607753.png,http://www.bmw.com.cn/zh/all-models/7-series/sedan/2017/overview.html
5,宝马BMW 1系,BMW 1系,宝马,237800,http://www.bmw.com.cn/content/dam/bmw/marketCN/common/all-models/car-model-image/F20-20171012.png.asset.1507864271185.png,http://www.bmw.com.cn/zh/all-models/1-series/5-door/2017/overview.html
6,宝马BMW 2系,BMW 2系,宝马,269800,http://www.bmw.com.cn/content/dam/bmw/common/all-models/2-series/gran-tourer/2015/model-card/BMW-2-Series-Gran-Tourer_ModelCard.png.asset.1475143550538.png,http://www.bmw.com.cn/zh/all-models/2-series/grantourer/2015/overview.html
7,宝马BMW 3系,BMW 3系,宝马,286800,http://www.bmw.com.cn/content/dam/bmw/marketCN/common/all-models/car-model-image/bmw-3ser-sedan.png.asset.1505991195587.png,http://www.bmw.com.cn/zh/all-models/3-series/sedan/2015/overview.html
8,宝马BMW X1,BMW X1,宝马,283800,http://www.bmw.com.cn/content/dam/bmw/marketCN/common/all-models/car-model-image/bmw-x1.png.asset.1522219161882.png,http://www.bmw.com.cn/zh/all-models/x-series/X1/2017/overview.html
9,奔驰A 180,A 180,奔驰,219800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Model_Navigation_ES/960x298/A-Class.object-Single-MEDIA.tmp/A.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/a-class/w176/advice_sales/w176.html
10,奔驰A 200,A 200,奔驰,238800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Model_Navigation_ES/960x298/A-Class.object-Single-MEDIA.tmp/A.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/a-class/w176/advice_sales/w176.html
11,奔驰A 200 时尚型,A 200 时尚型,奔驰,263800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Model_Navigation_ES/960x298/A-Class.object-Single-MEDIA.tmp/A.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/a-class/w176/advice_sales/w176.html
12,奔驰A 200 运动型,A 200 运动型,奔驰,278800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Model_Navigation_ES/960x298/A-Class.object-Single-MEDIA.tmp/A.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/a-class/w176/advice_sales/w176.html
13,奔驰A 260 运动型,A 260 运动型,奔驰,336800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Model_Navigation_ES/960x298/A-Class.object-Single-MEDIA.tmp/A.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/a-class/w176/advice_sales/w176.html
14,奔驰B 180,B 180,奔驰,225800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Passenger_Car_ES/B-Class/715-230-6.object-Single-MEDIA.tmp/715-230-6.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/b-class/w246/pricelist/catalogue_prices.html
15,奔驰B 200 动感型,B 200 动感型,奔驰,243800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Passenger_Car_ES/B-Class/715-230-6.object-Single-MEDIA.tmp/715-230-6.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/b-class/w246/pricelist/catalogue_prices.html
16,奔驰B 200 时尚型,B 200 时尚型,奔驰,262800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Passenger_Car_ES/B-Class/715-230-6.object-Single-MEDIA.tmp/715-230-6.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/b-class/w246/pricelist/catalogue_prices.html
17,奔驰B 200 豪华型,B 200 豪华型,奔驰,283800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Passenger_Car_ES/B-Class/715-230-6.object-Single-MEDIA.tmp/715-230-6.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/b-class/w246/pricelist/catalogue_prices.html
18,奔驰B 260 运动型,B 260 运动型,奔驰,339800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/Passenger_Car_ES/B-Class/715-230-6.object-Single-MEDIA.tmp/715-230-6.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/b-class/w246/pricelist/catalogue_prices.html
19,奔驰C 180 L 时尚型轿车,C 180 L 时尚型轿车,奔驰,323800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/News_Can-ad_2016_/C-Class_L_Sedan/S-715-230.object-Single-MEDIA.tmp/3-715-230.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/c-class/v205_sedan/advice_sales/price_list.html
20,奔驰C 200 L 轿车,C 200 L 轿车,奔驰,350800,https://www.mercedes-benz.com.cn/content/media_library/china/mpc_china/Passenger_Cars/News_Can-ad_2016_/C-Class_L_Sedan/S-715-230.object-Single-MEDIA.tmp/3-715-230.jpg,https://www.mercedes-benz.com.cn/content/china/mpc/mpc_china_website/zhng/home_mpc/passengercars/home/new_cars/models/c-class/v205_sedan/advice_sales/price_list.html
